set,file,EA,MFEA
set1,idpc_10x10x1000.idpc,13,7
set1,idpc_10x20x2713.idpc,12,12
set1,idpc_10x5x425.idpc,12,7
set1,idpc_15x15x3375.idpc,16,10
set1,idpc_15x30x12111.idpc,16,10
set1,idpc_15x7x1504.idpc,18,18
set1,idpc_20x10x2492.idpc,22,22
set1,idpc_20x20x8000.idpc,21,15
set1,idpc_20x40x26104.idpc,21,15
set1,idpc_25x12x4817.idpc,27,27
set1,idpc_25x25x15625.idpc,26,18
set1,idpc_25x50x57147.idpc,26,18
set1,idpc_30x15x10025.idpc,33,33
set1,idpc_30x30x27000.idpc,33,32
set1,idpc_30x60x89772.idpc,32,32
set1,idpc_35x17x13934.idpc,38,38
set1,idpc_35x35x42875.idpc,39,37
set1,idpc_35x70x123585.idpc,36,28
set1,idpc_40x20x18485.idpc,42,42
set1,idpc_40x40x64000.idpc,42,42
set1,idpc_40x80x130681.idpc,42,42
set1,idpc_45x22x43769.idpc,48,47
set1,idpc_45x45x91125.idpc,46,46
set1,idpc_45x90x322081.idpc,46,46
set2,idpc_100x100x1000000.idpc,103,102
set2,idpc_100x200x2296097.idpc,101,101
set2,idpc_100x50x461319.idpc,115,102
set2,idpc_50x100x285357.idpc,52,52
set2,idpc_50x25x38961.idpc,53,53
set2,idpc_50x50x125000.idpc,53,52
set2,idpc_60x120x434337.idpc,61,61
set2,idpc_60x30x99470.idpc,64,62
set2,idpc_60x60x216000.idpc,63,62
set2,idpc_70x140x923343.idpc,73,72
set2,idpc_70x35x120810.idpc,72,72
set2,idpc_70x70x343000.idpc,71,71
set2,idpc_80x160x1490468.idpc,81,81
set2,idpc_80x40x175762.idpc,82,82
set2,idpc_80x80x512000.idpc,85,82
set2,idpc_90x180x1644367.idpc,91,91
set2,idpc_90x45x260195.idpc,95,93
set2,idpc_90x90x729000.idpc,91,91
