,set,file,cost,time
0,set2,idpc_100x100x1000000.idpc,80,7418
1,set2,idpc_100x200x2296097.idpc,101,18686
2,set2,idpc_100x50x461319.idpc,80,6304
3,set2,idpc_50x100x285357.idpc,38,1845
4,set2,idpc_50x25x38961.idpc,38,547
5,set2,idpc_50x50x125000.idpc,38,1323
6,set2,idpc_60x120x434337.idpc,45,3998
7,set2,idpc_60x30x99470.idpc,45,1453
8,set2,idpc_60x60x216000.idpc,45,1951
9,set2,idpc_70x140x923343.idpc,55,6567
10,set2,idpc_70x35x120810.idpc,55,2925
11,set2,idpc_70x70x343000.idpc,55,2487
12,set2,idpc_80x160x1490468.idpc,70,10268
13,set2,idpc_80x40x175762.idpc,70,1978
14,set2,idpc_80x80x512000.idpc,70,5755
15,set2,idpc_90x180x1644367.idpc,91,14362
16,set2,idpc_90x45x260195.idpc,75,4080
17,set2,idpc_90x90x729000.idpc,75,8899
