,set,file,cost_p,avg,std,time
0,set1,idpc_10x10x1000,7,7,0,13.2
1,set1,idpc_10x20x2713,7,7,0,20.86666667
2,set1,idpc_10x5x425,7,7,0,6.466666667
3,set1,idpc_15x15x3375,10,10,0,41.26666667
4,set1,idpc_15x30x12111,10,10,0,80.73333333
5,set1,idpc_15x7x1504,10,10,0,25.53333333
6,set1,idpc_20x10x2492,15,15,0,67.13333333
7,set1,idpc_20x20x8000,15,15,0,126.6
8,set1,idpc_20x40x26104,15,15,0,157.7666667
9,set1,idpc_25x12x4817,18,18,0,106.3
10,set1,idpc_25x25x15625,18,18,0,183.8333333
11,set1,idpc_25x50x57147,18,18,0,527.4
12,set1,idpc_30x15x10025,24,24,0,184.2666667
13,set1,idpc_30x30x27000,24,24,0,461.5666667
14,set1,idpc_30x60x89772,32,32,0,872.2666667
15,set1,idpc_35x17x13934,28,28,0,275.6
16,set1,idpc_35x35x42875,28,28,0,635.6666667
17,set1,idpc_35x70x123585,28,28,0,960.4333333
18,set1,idpc_40x20x18485,32,32,0,686.8666667
19,set1,idpc_40x40x64000,32,32,0,1025.733333
20,set1,idpc_40x80x130681,32,33.33333333,3.399346342,1213.133333
21,set1,idpc_45x22x43769,35,41,6,1435.966667
22,set1,idpc_45x45x91125,35,35,0,1138.966667
23,set1,idpc_45x90x322081,46,46,0,1971.333333
24,set2,idpc_100x100x1000000,102,102,0,8459.833333
25,set2,idpc_100x200x2296097,101,101,0,10120.26667
26,set2,idpc_100x50x461319,102,102.7333333,0.928559218,7858.7
27,set2,idpc_50x100x285357,52,52,0,2037.566667
28,set2,idpc_50x25x38961,38,38,0,1162.9
29,set2,idpc_50x50x125000,52,52,0,1817.433333
30,set2,idpc_60x120x434337,61,61,0,2862.866667
31,set2,idpc_60x30x99470,45,45,0,2551.9
32,set2,idpc_60x60x216000,62,62,0,2713.4
33,set2,idpc_70x140x923343,72,72,0,4668.6
34,set2,idpc_70x35x120810,72,72,0,2917.3
35,set2,idpc_70x70x343000,55,68.86666667,5.438954148,3734.5
36,set2,idpc_80x160x1490468,81,81,0,6645.8
37,set2,idpc_80x40x175762,70,70.4,2.154065923,3798.733333
38,set2,idpc_80x80x512000,82,82.03333333,0.179505494,5059.333333
39,set2,idpc_90x180x1644367,91,91,0,7601.1
40,set2,idpc_90x45x260195,93,93.03333333,0.179505494,5078.4
41,set2,idpc_90x90x729000,91,91,0,6569.966667
